parameterType,parameterType & Tube#,,,Tube/Filter#,MULakeNumber,Depth,Date,Time,beginDepth,endDepth,Replicate,unit,parameterValue,Rerun?,still too high?,waterBody,samplingSite,parameterValueQCCodeDesc,,Geomean
TP,TP252 ,,,252,021,SURF,2024-06-06,10:57:00 AM,0,0,,ug/L,12,,,Goose_Creek,Goose Creek 1,,,
TP,TP607 ,,,607,021,EPI,2024-06-25,11:03:00 AM,0,3.019,,ug/L,10,,,Goose_Creek,Goose Creek 1,,,
TP,TP608 ,,,608,021,EPI,2024-06-25,11:03:00 AM,0,3.019,,ug/L,9,,,Goose_Creek,Goose Creek 1,,,
TP,TP609 ,,,609,021,EPI,2024-06-25,11:03:00 AM,0,3.019,,ug/L,7,,,Goose_Creek,Goose Creek 1,,,
TP,TP604 ,,,604,021,SURF,2024-06-25,11:03:00 AM,0,0,,ug/L,7,,,Goose_Creek,Goose Creek 1,,,
TP,TP605 ,,,605,021,SURF,2024-06-25,11:03:00 AM,0,0,,ug/L,9,,,Goose_Creek,Goose Creek 1,,,
TP,TP606 ,,,606,021,SURF,2024-06-25,11:03:00 AM,0,0,,ug/L,10,,,Goose_Creek,Goose Creek 1,,,
TP,TP1027 ,,,1027,021,EPI,2024-07-23,10:47:00 AM,0,3.5,,ug/L,13,,,Goose_Creek,Goose Creek 1,,,
TP,TP1028 ,,,1028,021,EPI,2024-07-23,10:47:00 AM,0,3.5,,ug/L,12,,,Goose_Creek,Goose Creek 1,,,
TP,TP1029 ,,,1029,021,EPI,2024-07-23,10:47:00 AM,0,3.5,,ug/L,12,,,Goose_Creek,Goose Creek 1,,,
TP,TP1024 ,,,1024,021,SURF,2024-07-23,10:47:00 AM,0,0,,ug/L,10,,,Goose_Creek,Goose Creek 1,,,
TP,TP1025 ,,,1025,021,SURF,2024-07-23,10:47:00 AM,0,0,,ug/L,9,,,Goose_Creek,Goose Creek 1,,,
TP,TP1026 ,,,1026,021,SURF,2024-07-23,10:47:00 AM,0,0,,ug/L,11,,,Goose_Creek,Goose Creek 1,,,
TP,TP1407 ,,,1407,021,EPI,2024-08-13,10:38:00 AM,0,4.095,,ug/L,9,,,Goose_Creek,Goose Creek 1,,,
TP,TP1408 ,,,1408,021,EPI,2024-08-13,10:38:00 AM,0,4.095,,ug/L,9,,,Goose_Creek,Goose Creek 1,,,
TP,TP1409 ,,,1409,021,EPI,2024-08-13,10:38:00 AM,0,4.095,,ug/L,12,,,Goose_Creek,Goose Creek 1,,,
TP,TP1404 ,,,1404,021,SURF,2024-08-13,10:38:00 AM,0,0,,ug/L,9,,,Goose_Creek,Goose Creek 1,,,
TP,TP1405 ,,,1405,021,SURF,2024-08-13,10:38:00 AM,0,0,,ug/L,9,,,Goose_Creek,Goose Creek 1,,,
TP,TP1406 ,,,1406,021,SURF,2024-08-13,10:38:00 AM,0,0,,ug/L,9,,,Goose_Creek,Goose Creek 1,,,
TP,TP331 ,,,331,030,EPI,2024-06-07,8:44:00 AM,0,5.75,,ug/L,36,,,Wappapello,Wappapello 1,,,
TP,TP332 ,,,332,030,EPI,2024-06-07,8:44:00 AM,0,5.75,,ug/L,38,,,Wappapello,Wappapello 1,,,
TP,TP333 ,,,333,030,EPI,2024-06-07,8:44:00 AM,0,5.75,,ug/L,38,,,Wappapello,Wappapello 1,,,
TP,TP328 ,,,328,030,SURF,2024-06-07,8:44:00 AM,0,0,,ug/L,33,,,Wappapello,Wappapello 1,,,
TP,TP329 ,,,329,030,SURF,2024-06-07,8:44:00 AM,0,0,,ug/L,36,,,Wappapello,Wappapello 1,,,
TP,TP330 ,,,330,030,SURF,2024-06-07,8:44:00 AM,0,0,,ug/L,34,,,Wappapello,Wappapello 1,,,
