parameterType,parameterType & Tube#,,,Tube/Filter#,MULakeNumber,Depth,Date,Time,beginDepth,endDepth,Replicate,unit,parameterValue,Rerun?,still too high?,waterBody,samplingSite,parameterValueQCCodeDesc,
TN,TN1759 ,,,1759,018,EPI,2024-08-13,12:24:00 PM,0,5.32,,ug/L,390,,,Capri,Capri 1,,
TN,TN1760 ,,,1760,018,EPI,2024-08-13,12:24:00 PM,0,5.32,,ug/L,290,,,Capri,Capri 1,,
TN,TN1761 ,,,1761,018,EPI,2024-08-13,12:24:00 PM,0,5.32,,ug/L,360,,,Capri,Capri 1,,
TN,TN1387 ,,,1387,018,SURF,2024-08-13,12:24:00 PM,0,0,,ug/L,250,,,Capri,Capri 1,,
TN,TN1388 ,,,1388,018,SURF,2024-08-13,12:24:00 PM,0,0,,ug/L,260,,,Capri,Capri 1,,
TN,TN1389 ,,,1389,018,SURF,2024-08-13,12:24:00 PM,0,0,,ug/L,230,,,Capri,Capri 1,,
TN,TN253 ,,,253,021,EPI,2024-06-06,10:57:00 AM,0,2,,ug/L,350,,,Goose_Creek,Goose Creek 1,,
TN,TN254 ,,,254,021,EPI,2024-06-06,10:57:00 AM,0,2,,ug/L,370,,,Goose_Creek,Goose Creek 1,,
TN,TN255 ,,,255,021,EPI,2024-06-06,10:57:00 AM,0,2,,ug/L,370,,,Goose_Creek,Goose Creek 1,,
TN,TN250 ,,,250,021,SURF,2024-06-06,10:57:00 AM,0,0,,ug/L,360,,,Goose_Creek,Goose Creek 1,,
TN,TN251 ,,,251,021,SURF,2024-06-06,10:57:00 AM,0,0,,ug/L,380,,,Goose_Creek,Goose Creek 1,,
TN,TN252 ,,,252,021,SURF,2024-06-06,10:57:00 AM,0,0,,ug/L,390,,,Goose_Creek,Goose Creek 1,,
TN,TN607 ,,,607,021,EPI,2024-06-25,11:03:00 AM,0,3.019,,ug/L,290,,,Goose_Creek,Goose Creek 1,,
TN,TN608 ,,,608,021,EPI,2024-06-25,11:03:00 AM,0,3.019,,ug/L,320,,,Goose_Creek,Goose Creek 1,,
TN,TN609 ,,,609,021,EPI,2024-06-25,11:03:00 AM,0,3.019,,ug/L,340,,,Goose_Creek,Goose Creek 1,,
TN,TN604 ,,,604,021,SURF,2024-06-25,11:03:00 AM,0,0,,ug/L,300,,,Goose_Creek,Goose Creek 1,,
TN,TN605 ,,,605,021,SURF,2024-06-25,11:03:00 AM,0,0,,ug/L,320,,,Goose_Creek,Goose Creek 1,,
TN,TN606 ,,,606,021,SURF,2024-06-25,11:03:00 AM,0,0,,ug/L,360,,,Goose_Creek,Goose Creek 1,,
TN,TN1024 ,,,1024,021,EPI,2024-07-23,10:47:00 AM,0,3.5,,ug/L,370,,,Goose_Creek,Goose Creek 1,,
TN,TN1026 ,,,1026,021,EPI,2024-07-23,10:47:00 AM,0,3.5,,ug/L,350,,,Goose_Creek,Goose Creek 1,,
TN,TN1726 ,,,1726,021,EPI,2024-07-23,10:47:00 AM,0,3.5,,ug/L,320,,,Goose_Creek,Goose Creek 1,,
TN,TN1727 ,,,1727,021,EPI,2024-07-23,10:47:00 AM,0,3.5,,ug/L,320,,,Goose_Creek,Goose Creek 1,,
TN,TN1728 ,,,1728,021,EPI,2024-07-23,10:47:00 AM,0,3.5,,ug/L,350,,,Goose_Creek,Goose Creek 1,,
TN,TN1021 ,,,1021,021,SURF,2024-07-23,10:47:00 AM,0,0,,ug/L,330,,,Goose_Creek,Goose Creek 1,,
TN,TN1022 ,,,1022,021,SURF,2024-07-23,10:47:00 AM,0,0,,ug/L,360,,,Goose_Creek,Goose Creek 1,,
TN,TN1023 ,,,1023,021,SURF,2024-07-23,10:47:00 AM,0,0,,ug/L,350,,,Goose_Creek,Goose Creek 1,,
TN,TN1402 ,,,1402,021,EPI,2024-08-13,10:38:00 AM,0,4.095,,ug/L,290,,,Goose_Creek,Goose Creek 1,,
TN,TN1403 ,,,1403,021,EPI,2024-08-13,10:38:00 AM,0,4.095,,ug/L,280,,,Goose_Creek,Goose Creek 1,,
TN,TN1404 ,,,1404,021,EPI,2024-08-13,10:38:00 AM,0,4.095,,ug/L,290,,,Goose_Creek,Goose Creek 1,,
TN,TN1399 ,,,1399,021,SURF,2024-08-13,10:38:00 AM,0,0,,ug/L,290,,,Goose_Creek,Goose Creek 1,,
TN,TN1400 ,,,1400,021,SURF,2024-08-13,10:38:00 AM,0,0,,ug/L,300,,,Goose_Creek,Goose Creek 1,,
TN,TN1401 ,,,1401,021,SURF,2024-08-13,10:38:00 AM,0,0,,ug/L,290,,,Goose_Creek,Goose Creek 1,,
TN,TN331 ,,,331,030,EPI,2024-06-07,8:44:00 AM,0,5.75,,ug/L,450,,,Wappapello,Wappapello 1,,
